,title,Achievement_rate,amount,people
11966,AN-MON安莫原创手办,101%,61091.8,109
11967,沂蒙山下的【山楂之恋】原汁原味原生态,307%,153565.9,6831
11968,关于我的谈资-安溪铁观音,155%,77503.0,679
11969,CARZOR C1车载智能空气净化器,106%,106549.0,137
11970,农家土特产——变蛋,105%,52935.0,1422
11971,【绿色种植】正宗新疆和田大枣—6星,108%,54110.0,347
11972,树上的糖包子-农家无花果干,138%,69188.15,1205
11973,潍坊精品水果萝卜  脆甜   多汁美味,106%,53140.3,409
11974,CIGA Design 陶瓷镂空机械腕表,1072%,536462.0,286
11975,Iphone至薄至清润眼康宁钢化膜给予双眸极致守护,124%,124388.0,1589
11976,18位插画师原创随行本-让灵感不再稍纵即逝,454%,22744.0,464
11977,【阿里&DOSS】智能云音箱Cloud Fox 2,691%,691611.0,1073
11978,艾普臣-第二代智能感应垃圾桶 我们，不玩虚的！,158%,158057.0,932
11979,几案间的植物艺术--景致花,101%,50727.0,112
11980,【走进世博的栖霞苹果】经历冰与火考验的栖霞老苹果,111%,55605.5,1927
11981,慈禧吃了都说好，始于明代正德年间的古法手工艺。,137%,68950.9,4141
11982,百年柿树，原始工艺，来自时间的礼物｛年货佳品］,150%,75116.5,2570
11983,你走路你荣耀，不一样的手环——imo+公益手环,109%,109592.0,645
11984,臻蚝磨恋记——臻鲜之旅，冬蚝暖阳,103%,51500.0,430
11985,农家土鸡蛋 给您健康好生活 过年吃上正宗土鸡蛋,100%,50404.0,473
11986,好一朵美丽的茉莉花，一缕阳光一杯茶,109%,54722.0,1108
11987,纯正农家自产【椴木黑木耳】,113%,56624.0,611
11988,【中蜂百花巢蜜】直接嚼着吃的土蜂蜜,221%,110768.0,874
11989,公牛防过充USB插座,116%,1165102.0,9943
11990,得力携手万万没想到大电影 官方授权跨界新品,114%,57229.0,828
11991,《让爱的分贝响亮》华语名主播新年公益诗会,502%,50289.0,2718
11992,《饥饿游戏》纪念饰品，有一种信仰是用生命捍卫自由！,851%,42586.0,254
11993,《遇见男神》24位明星独家限量潮品，瞬间高潮不是梦,101%,10191.0,157
11994,乐帆魔镜 虚拟现实VR眼镜 移动式头盔眼镜,2137%,171024.0,1506
11995,NPC x《恶棍天使》联名系列产品巨献,690%,34513.0,197
11996,【B.Duck小黄鸭】12星座钥匙扣,425%,42585.0,963
11997,来自饥饿游戏3-嘲笑鸟的定制双肩女包优哈全球首发,324%,6497.0,83
11998,圆10位脑瘫孩子的“同桌”梦,157%,157690.0,6296
11999,黑暗中，天使与你同行，了解导盲犬的一生,1569%,156905.0,7159
12000,寻找一万名马来西亚国宝体验者,134%,67398.0,598
12001,SW28智能手表 改变生活先改变生活方式,136%,136610.0,326
12002,ACTON新一代火箭鞋R5——极速操控新体验,1025%,1025879.0,99
12003,SKG 智能声波电动牙刷,372%,372528.0,1772
12004,和耳朵一起一醉方休-发烧级智能音乐器,102%,102687.0,643
12005,【五百年】值得使用一辈子的创意文具系列-猴年礼物,301%,150888.0,582
12006,小元Mini超声洗衣器，省时省力懒人必备,5935%,5935273.0,31049
12007,紫霄智能  无线充电车载空气净化器,100%,100695.0,130
12008,爱上小盒，让你的普通音响开启智能模式,650%,650791.0,1126
12009,米萌智热鞋垫，这个冬天不再寒冷,157%,157914.0,643
12010,自然长成 年年有鱼，一份纯臻的黄河鲤物。,102%,51498.0,193
12011,医食同源，药膳两用，邀你共品原种泰和乌鸡！,2670%,1335425.0,7433
12012,洞藏老坛酒,402%,201383.0,978
12013,首欣4号无人机,103%,309458.0,42
12014,bong 2s 多彩心率智能手环,210%,1051266.0,9245
12015,非物质文化遗产再设计--原创竹丝扣瓷竹节杯,275%,137868.0,316
12016,颠覆驾驶体验—小镜智能后视镜导航行车记录仪,322%,322416.0,209
12017,蝶变丝滑白皙女神——全球3大家用脱毛美容仪,1413%,1413520.0,1878
12018,Archer 轻情趣大师 第一款可变型的的情趣玩具,166%,166771.0,1021
12019,全新概念动力自行车OWL,119%,59557.0,27
12020,居家抱枕套戏曲范儿也呆萌,122%,3668.0,22
12021,NanoHug暖心蛋，便携易用的血压健康管理助手,201%,402931.0,969
12022,【便携与电量兼得】ATX可分解式移动电源,213%,213102.8,1898
12023,朵拉魔盒：智能管家 O2O服务 语音呼叫 智能花盆,2740%,2740116.4,5574
12024,睡美人，尽情释放爱美的天性,735%,1471208.0,1192
12025,天然无污染——农家一手纯蜂蜜,103%,51822.0,744
12026,有你，今冬不再寒冷,105%,24150.0,989
12027,植物钻石——云南.野生.辣木籽,113%,56941.0,449
12028,传统工艺——我的鱼籽酱及酱料大全,108%,54025.4,1474
12029,vivo X6全网通高配版急速闪充指纹识别智能手机,328%,328466.0,122
12030,《极盗者》版创新万能车载电源,345%,34541.0,279
12031,【麻城肉糕】流传千年的年味儿美食，农家手剁肉糕,312%,156122.3,4616
12032,【甘肃静宁红富士】世界上的第四个苹果,102%,51150.0,630
12033,【防滑链】为冬季出行精心准备  有了它就不怕打滑了,103%,31126.0,154
12034,"传承国家非物质文化遗产--""仙作""",116%,58408.0,33
12035,中华名果———被国外誉为“东方佳果”的永春芦柑。,101%,50785.0,299
12036,【催眠大师】怀菊花枕头，亚健康者的必备理疗神器,100%,50384.0,196
12037,【秋梨膏】秋梨冰糖柴火熬制,111%,55519.0,851
12038,长白山里“参酒香”,107%,53817.0,48
12039,專屬年輕一代的茶具：可收納的茶盤,355%,177887.0,287
12040,一把有山茶花精油和负离子的电吹梳 塑髪护髪一步到位,260%,130248.0,314
12041,香甜可口--要的就是这个味（正宗天然霜降柿饼）,111%,55660.3,1547
12042,好喝因为原产——好喝因为头采,111%,55575.0,995
12043,【宫廷御面】传承百年郴州特色小吃，宫廷御面,180%,90240.0,1247
12044,高原红枣，农户自家种植自然晾晒大红枣,268%,134400.0,1868
12045,[桔皇驾到] 寻找冬季最甜脆可口的正宗融安甜心金桔,103%,51651.2,361
12046,艾漫锦鲤伞，尘世辗转，只为遇到你,185%,9280.0,120
12047,为听障儿童送有声世界,212%,21220.0,792
12048,树皮有毛用,113%,56892.0,169
12049,秒变纯水杯，一边过滤一边饮用,1338%,1338171.0,7786
12050,一本有书卷味的文艺移动电源,101%,101466.0,224
12051,“旅行中的雅皮士系列”私人皮具定制，细节由你决定。,311%,155503.0,889
12052,怎么甩都不会掉的运动防水蓝牙耳机,314%,314766.0,1916
12053,ERQU声波按摩保健耳机,1065%,1065262.0,11624
12054,【美容养颜圣品】圣诞有好礼，云南手工玫瑰花鲜花饼,110%,55219.0,1159
12055,【纯野生】生松子，拒绝化学物品开口及油炸！,111%,55843.0,763
12056,金螳螂机械键盘——你的游戏超级装备,347%,347414.0,600
12057,双水箱仿人工真湿拖智能扫地机器人,714%,714239.0,794
12058,一个会自己发酵出淡淡酒香的---南果梨,108%,54237.1,637
12059,井冈深山寻味 天然原生态板鸭,110%,55384.0,313
12060,伸缩收纳数据线 二合一 苹果安卓通用,288%,288023.0,5718
12061,圣诞礼许愿树-原创设计天然碧玺首饰,136%,68005.0,238
12062,P-Wolf Glass 智能眼镜,312%,312408.0,317
12063,【泰山原生大枣】五岳独尊孕育原生态健康好枣,102%,51053.2,689
12064,遗落在民间的美味——农家散养土黄牛牛鞭,153%,76891.0,524
12065,关爱资助20位贫困抗战老兵,5132%,513240.0,17987
12066,兰桂跌倒呼救器,340%,340902.0,1311
12067,“花.香” 花器香薰灯.,109%,54796.0,232
12068,农家家庭【年货】川味腊肠（香肠），年货必备,546%,273055.0,1881
12069,随笔 君,854%,427484.0,1382
12070,六年的等待----只为与您共饮洞藏酒,913%,456618.0,2462
12071,【深山野味】埋在海拔1295米深山中的“稀世冬笋”,108%,54136.0,977
12072,锆石立体声耳机：纯净音质，叫醒你的耳朵,106%,106828.0,380
12073,【五倍子老巢蜜】三年以上的酝酿，给你不一样的体验,164%,82476.0,950
12074,皇帝点心 龙须酥,103%,51651.0,654
12075,【永春芦柑】中国芦柑之乡，甜得刚刚好,208%,104271.4,2622
12076,极盗者多功能户外运动摄影墨镜,146%,144904.0,548
12077,冬季食补首选古法酱牛鞭 天然放养来自长寿之乡,106%,53319.0,63
12078,智能护宫暖宫护腰带,121%,121559.0,251
12079,从纽约到香格里拉--香格里拉农场精选咖啡,491%,245958.0,2457
12080,原生态内蒙古碳烤手撕羔羊腿,129%,64773.0,380
12081,原生态高品质黑山羊，冬季滋补上品,104%,52107.0,238
12082,产自丝绸之府，最上等的选材，会呼吸的蚕丝被,195%,97806.0,539
12083,中国贝类新地标，威海乳山生吃蚝！,107%,53917.0,340
12084,【最美石榴之乡】秦兵马俑旁边的一亩果园,137%,68824.0,1200
12085,【红树林海鸭蛋】真正的海岛散养 绿色天然好吃到流油,112%,56432.0,479
12086,菲星mini红外线记录仪,178%,178907.0,555
12087,周生生81周年限量纪念版炫彩Charme组合转运珠,401%,200551.0,49
12088,职场女性的时尚轻情趣 小红,100%,50140.0,660
12089,（来自借母溪的“一个愿望“）一颗沙田柚，一份希望,106%,53479.0,905
12090,星球大战黑暗战士凯洛·伦青铜雕像,285%,5638.0,5638
12091,【把“花青素”带出泥泞】选择颜色不一样的土豆？,100%,50477.0,1401
12092,上央视的丑苹果，还原苹果本来的味道,104%,52396.0,662
12093,【章小蜜】寻觅第二站，中华土蜂蜜之结晶冬蜜,294%,147248.0,1750
12094,一方水土 养育一方人,114%,57445.1,1293
12095,爱侣情趣聚能环，助时长展雄威，提高性福质量！,5058%,1011649.0,23796
12096,【武汉热干面】一碗热干面，一份游子的思念,378%,189463.0,4245
12097,乐典未来电子琴，一款能接app的智能电子琴！,413%,619636.0,1899
12098,好看又好玩的萌宠创意蓝牙音箱,187%,187906.0,934
12099,一对梳子 一世情缘【 婚庆礼】【 闺蜜礼】,145%,72764.0,528
12100,《西游记之孙悟空三打白骨精》独家授权周边抢先发售,226%,22680.0,62
12101,乐慕品蕊七世智能震动棒,219%,219337.0,163
12102,电动滑板－正弦波单驱遥控电动滑板,109%,109636.0,46
12103,"果,然不同!(趣味十足的首饰)",186%,93059.0,235
12104,为您寻找高原深山里的野生核桃,103%,51851.0,245
12105,咱老家的地瓜干——软硬兼中超Q,104%,52062.2,2077
12106,澜沧江野生蜂巢蜜，砍出来的野蜂蜜。,301%,150654.0,1008
12107,空运直达 泰国金枕榴莲,193%,96756.0,492
12108,牛奶助村童健康成长,109%,21850.0,519
12109,原创作品纯铜铸造《鉴山》功能书挡摆件,189%,94705.0,195
12110,闻百香，品酸香甜，尝此果味。,115%,57766.0,1551
12111,超级宝宝智能体温计-全天候24小时宝宝健康监护仪,166%,83491.0,483
12112,秭归血橙，中华名果，产地直供，您预定了吗？,551%,275919.0,5007
12113,生肖竹语伞-猴年纪念款－匠心物语、竹伞复兴,447%,223814.0,1201
12114,为四川凉山州的贫困孩子送冬衣,353%,42424.0,2130
12115,滚蛋吧，雾霾君！豪捷纯牛皮空气净化器家车2用,275%,275078.0,1271
12116,今生今世 专属订制 普洱茶,110%,110510.73,3573
12117,Bastron 触控蓝牙音响 自然之声 随指而动,125%,62910.0,40
12118,【伴棉】智能恒温可移动地暖——温暖整个冬天,410%,410876.0,555
12119,阿里智能A+ 1200M双频千兆路由器,233%,233896.0,1336
12120,【只甜无酸味的柚子】岭南有柚熟，质优果肉香,103%,51755.8,521
12121,大自然赋予的武夷山红茶、让这个冬天不再寒冷,124%,62066.0,714
12122,布瑞尔-宝利酒庄——畅饮波尔多，品味酒庄生活！,102%,51095.4,61
12123,铜师傅  猴年力作  全铜香炉 《欢乐西游》,4324%,2162274.0,2526
12124,motlun摩天轮口罩能防PM1不惧PM2.5,119%,119411.0,1599
12125,最摇滚的主餐沙拉－ensalada摇滚沙拉,130%,130200.0,425
12126,毛主席吃了都说好的天水花牛苹果,114%,57349.9,1302
12127,跨越春夏秋冬四季的猕猴桃，躲在大山深处的美味,103%,51585.0,366
12128,源自北纬23度最适合橙子生长地区特产，永兴冰糖橙,106%,53010.0,725
12129,纯手工锻打铁茶杯托,122%,61308.0,468
12130,花生配红糖，赛过头婚郎！,106%,53303.0,799
12131,大山里的美食，腊味里的乡愁--湘西黑毛猪烟熏腊肉,110%,55226.0,352
12132,流浪儿童和乞讨人员搜救项目,125%,23630.0,803
12133,冬虫夏草和黑枸杞不再昂贵---人人皆可食之,146%,73060.0,413
12134,心有所“薯”——来自家乡的味道,105%,52649.8,816
12135,福建东山岛，大力众筹绿色无公害“热带小苹果”,145%,72590.0,1719
12136,【厨房小方】-厨房里的美味魔方,116%,232545.0,151
12137,【洛川苹果】为果农搭起新希望，新鲜苹果众筹好生活。,101%,50957.0,176
12138,晒得乐【智能晾衣机】——一步到位的装修选择！,104%,104033.0,76
12139,沐鱼鱼缸,110%,55354.0,233
12140,寻古方/择良参，冬令进补——人参精华膏,122%,61280.0,615
12141,禁了十六年，依然在烧,101%,50842.0,784
12142,【互联网+富平柿饼】只为给您大自然的味道,117%,58852.0,1528
12143,超高性价比，让您买到最好最实惠的野生黑枸杞,118%,59009.0,201
12144,给你一个瞠目结舌的梦幻下午茶,102%,60641.0,90
12145,2016河北公益春晚，善美河北，让爱回家,101%,5080.0,194
12146,陕西高原，农户自然晾晒，健康小米,227%,113573.0,1408
12147,【照片已经更新在最下面】儿童安全话剧义演,121%,6099.0,319
12148,美国OWE一秒折叠智能电动车一畅享骑行乐趣！,137%,137957.0,25
12149,春节送礼送健康，真爱就要用“心”表达,1622%,1622103.0,4696
12150,暴风魔镜4代全网震撼发售，重新定义虚拟现实眼镜,1048%,2096924.0,10338
12151,南方的艳阳里，打响了冬季保“胃”第一战,104%,52152.0,477
12152,【e农春天】一方风土的温暖，无杂之地的清甜,106%,53013.6,462
12153,一粒黑米、一份责任、全国双劳模夫妻执着的背后…,208%,104178.2,1467
12154,一款支持无线充的高颜值可通话智能手表,109%,109450.0,257
12155,【寻蜜】来自云南怒江原始森林的野生蜂蜜,120%,60127.0,485
12156,36度5云智能儿童体温计,133%,133061.0,897
12157,悠狐魔戒——用身体玩转虚拟现实,231%,231374.0,1746
12158,出淤泥而不染，香囊式多用途翡翠银饰。,127%,63836.0,117
12159,你不曾见过的科技时尚精品—Sparo迷你电脑主机,455%,455519.0,555
12160,膳食养生-黑芝麻核桃养生粉,109%,54928.0,595
12161,【恒利洋巴楚文化首饰】  为沉默的文化呐喊 ！,105%,52767.0,284
12162,迅雷赚钱宝Pro 让你的路由器能赚钱,4674%,4674500.0,29630
12163,为你守护珍爱之物  Sher-Lock云智能柜锁,2135%,2135988.0,17163
12164,德泷爱佳MINI机器人——您的私人健康顾问！,173%,173447.0,153
12165,DIY漂亮音乐-SHABA小魔钻自拍穿戴式蓝牙音响,795%,795399.0,12621
12166,渔火-卧香炉：黑酸枝，纯手工，限量300件，带编号,118%,59400.0,300
12167,那些年我们一起看过的动画片 《公仔储蓄罐》,168%,25244.0,128
12168,台湾林窑《苗栗的秋天》堆泥金银釉熏香炉,409%,204565.7,300
12169,葫芦车小Q-智能折叠电动代步车-轻薄小巧的出行伴侣,298%,2980052.0,1076
12170,以天为盖地为庐，草头山间创生路，此为何物？,101%,50771.2,587
12171,布叮插座，防水防触电智能插座潮品,838%,838931.6,22535
12172,VV-BOX智能语音药盒 送给父母的健康礼物,1411%,1411063.0,2497
12173,Solar情景助眠灯 一呼即应的手势识别护眼床头灯,294%,294153.0,556
12174,10多种功能于一身，智能语音控制 智能羽绒服,2022%,2022306.0,2559
12175,与时间对话：中兴Z-watch智能手表，腕上的精灵,2237%,2237127.0,31778
12176,小小小飞机—年轻人的新玩具,668%,668630.0,4389
12177,OraCleen S 智能牙刷—180秒的智能体验,595%,595085.0,3550
12178,首款网络点歌机，让你随时随地想唱就唱！,136%,136315.0,158
12179,女神！来寻找中国更优质的卫生巾,150%,7514.0,1830
12180,【益盛永泰】寻味之旅——到纯净长白山寻天然好蜂蜜,103%,51828.0,945
12181,速龙智能空气净化器——智时代，净生活,105%,105848.89,588
12182,厨房江湖神器突现 从此家中再无第二锅,443%,443343.0,2413
12183,以滑轮驱动的革命性单车—CNAEYO螳螂车,438%,219005.0,147
12184,可定制的便携式红木空气净化器,109%,54747.0,271
12185,【永不断电】【为驾驶而生】智能车载快充蓝牙耳机,116%,116945.0,363
12186,觅咪爱 智能胸垫：这才是真爱,703%,703602.0,2057
12187,中西合璧，一秒变厨神！美国进口超能魔力锅！,130%,130986.0,140
12188,携茶道——云端上的茶空间 唯美创新可携茶道,1769%,884962.0,2269
12189,【体验运动 回归自然】横溪石塘人家定向越野大赛,100%,30108.0,342
12190,氧动力 体能加速器—美国进口 加速恢复体能缓解疲劳,1879%,1879470.0,8023
12191,微动手感控制器——带你进入“手感”操控时代,236%,236448.0,481
12192,薯香，古法倒蒸，老底子的秋食记忆,209%,104922.74,4816
12193,筑巢酿蜜 体验原始的甜蜜味道,101%,50612.0,429
12194,双鲸家庭影院音响系统 您的私人视听专家,176%,176580.0,90
12195,暖烛 — 家的温馨,102%,102787.0,443
12196,晨光优品 淘公仔2016创意日历本,3892%,194622.0,3978
12197,烟台栖霞红富士苹果，带你寻回久违的老味道,222%,111132.0,1914
12198,"集拒水防污,破窗,胎纹尺,军工刀于一身的多功能伞",266%,133291.0,631
12199,品佳智能体脂管理仪—为你创造快乐瘦身的美丽传说,212%,212542.0,2575
12200,智能杯垫,108%,108068.0,396
12201,北斗魔盒：精准位置服务神器,121%,121706.0,294
12202,口腔美白亮泽新变革——博世达蓝光牙齿美白仪,133%,133729.0,395
12203,日本《可愛い天使》绘画教程,344%,17226.2,235
12204,喵小瞳360°全景智能行车记录仪—转个角度看世界,741%,741000.0,920
12205,［小房子］用心陪伴的混凝土夜灯,100%,50132.0,144
12206,浓缩的都是精华—野鸡蛋（一个约顶三个普通鸡蛋）,108%,54130.0,490
12207,小智管家机器人-享受终身智能管家的贴心服务,957%,2873625.0,3090
12208,【少鲜队】众筹拯救沙化 来自宝古图沙漠的小尾寒羊肉,612%,306048.0,1826
12209,【珍珠贝壳暖手宝】温暖你手的掌上明珠,103%,103850.0,175
12210,小蚁智能行车记录仪—专为发烧友设计的行车记录仪,16191%,16191730.0,54230
12211,e7go多用智能记录仪：行车记录+家庭监控,1181%,1181052.0,1450
12212,意大利智能珠宝totwoo：懂人心的穿戴 6大功能,229%,229456.0,2283
12213,奶爸爸云智能冲奶机—8秒智配冲，一键享轻松,2203%,2203027.0,3322
12214,一个躲在画里的取暖神器——智优尚·智能云暖画,113%,113762.0,93
12215,即刻蜕变，逆转时光—Young智能光学离子美容仪,919%,919404.0,2206
12216,青春需要炫酷的蜕变——意大利变色音乐帽,104%,52443.0,68
12217,上网看手机，清润明目之选黄山贡菊。,106%,53302.0,232
12218,【苹果】请你们品鉴，霜降后的苹果底庙红富士,326%,163410.0,2382
12219,【黄粑】红糖糯米糕，冬天里给你暖暖的味道。,230%,115474.0,2224
12220,寒冷的冬季 新鲜的甜蜜—川东深山芦柑12月现摘现发,114%,57294.0,1069
12221,夜半手机党的救星-乳胶护眼枕,855%,427536.0,1862
12222,一款有诚意的智能羽毛球拍——您的智能私人羽球教练,222%,222032.0,525
12223,【用心种植农产品】重庆自制油辣子 百年传统工艺,124%,62432.0,623
12224,冬至吃什么？农家散养笨山羊肉让你暖身一整冬。,146%,73368.0,513
12225,红蝙蝠之星生物膜八度喇叭开放体零度折叠音乐定制耳机,146%,146344.0,1128
12226,dTAPE 智能激光尺    开启“滑”时代,1015%,1015027.0,3976
12227,珍奇中华红血橙，冬季的一枚“暖橙”，您预定了吗？,281%,140744.0,2696
12228,一只可以上楼梯的旅行箱,105%,52948.0,24
12229,【四川担担面】让美味变得简单在家也可轻松享受的名食,148%,74220.0,1624
12230,桃叶橙——曾经的国宴贡品，进过中南海的“传奇橙”,107%,53919.0,440
12231,百岁夫妻送祝福,458%,50420.0,2353
12232,一种美味两种营养“枣想核你在一起”,112%,56298.0,548
12233,二次创业 秋天最后的味道——寒富苹果,101%,50742.0,2140
12234,执着 海豚音X7 插拔式带CPU隔音耳机4.1声道,126%,126455.0,1535
12235,你是想当一只非洲鼠，还是一只有瓜子的欧洲鼠？,205%,10284.0,146
12236,魔吻原创设计出品《雏蜂》系列吊坠,149%,14913.0,77
12237,《时尚的诞生》涂色周边,236%,2364.0,44
12238,PIB智能香薰，从此一生香随,113%,113032.0,809
12239,【古法炮制】旗黄培源膏 传统膏滋 温润滋养 。,110%,55421.0,130
12240,【胜利老米酒】大别山最后的手工纯酿老米酒,106%,53441.0,378
12241,国际助残在淘宝，众筹山地苹果和县长圆攒劲电商助残梦,107%,537298.0,54843
12242,投资一次新疆枣农、享用十年的正宗和田大枣！,118%,59012.3,1467
12243,学尔森 一级消防工程师首考 快速取证 考点精讲,1777%,17770.5,795
12244,古法蜜茶----温暖她，滋补他，陪伴你度过寒冬,126%,63195.0,1872
12245,【净盐灯】姜饼人的圣诞之光,115%,57936.0,152
12246,火创｜中国美院沈乐平教授书法作品衍生帆布袋公益众筹,101%,50596.0,1057
12247,【imu/幻响】 摇一摇 LED智能健康护眼阅读灯,297%,297182.0,3153
12248,一款神奇的能量包 定制您的私人健身教练,861%,861518.0,5447
12249,《妖怪名单》！正版周边产品首发！,301%,30144.0,422
12250,国漫崛起！雏蜂正式授权产品大募集,100%,5016.0,43
12251,Cloud车载负离子空气净化器让呼吸更美丽,240%,240560.0,3061
12252,"""中华名果""大潭山桔柚推广农村优质水果",105%,52595.0,218
12253,和田枣农 良心众筹 健康原粒枣,106%,53049.6,407
12254,百变神棍-枕头 腰靠 坐垫 u型枕 护颈枕,117%,58625.0,475
12255,黑龙江省政府官方农业品牌“小饭围”五常稻花香米,161%,808712.0,4366
12256,源自世界地质公园白雪山的经典红茶-坦洋工夫,107%,53880.0,763
12257,elfin磁吸底座—无线充电的体验，有线充电的速度,757%,757161.0,4237
12258,Rolling Cover双面平板保护套,107%,53632.0,368
12259,手游新玩宠——葡萄游戏厅限量甜品C系列游戏手柄C1,141%,141268.0,953
12260,安东尼不二兔-正版授权高清数码印花卡通窗帘,158%,7938.0,21
12261,佰卡丝兔绒制品 造福天下兔农  暖身还暖心的新衣裤,126%,63016.0,268
12262,掩埋在黄土高坡里的黑金刚，90后新农人的电商桥梁梦,106%,53065.6,2154
12263,【水露草木之花】纯银搅拌棒,123%,61863.0,97
12264,桌面可调节高度-太空竹子模块收纳办公桌,321%,160594.0,185
12265,【续经典】台湾抗菌纳米陶瓷刀，重新颠覆水果刀形象！,238%,119275.0,1405
12266,猫管家 智能86型暗装插座,110%,132578.0,3422
12267,专为圣诞节定制的花茶礼盒#再也不怕挑选圣诞礼物了#,104%,52044.0,133
12268,长丰草莓国家地标产品，带你寻找水果皇后！,161%,80865.0,925
12269,用爱温暖孩子冬天，2015温暖行动,215%,43090.0,851
12270,【烟台苹果】霜降后15天采摘的老苹果,450%,225474.3,11187
12271,宁夏枸杞，黄土高原的红色精灵,103%,51856.0,329
12272,挽救非物质文化遗产【福宝酥饼】，已逾千人支持。,106%,53419.0,1185
12273,彬县高原蜜枣，大自然晾晒的蜜枣   枣动起来,314%,157203.0,1918
12274,CHEVEN-陪安东尼度过漫长岁月 不二限量保温杯,291%,87507.0,773
12275,安东尼的不二兔多功能卡通抱枕被,1131%,113198.0,1246
12276,【集趣良品】不二兔陪安东尼度过漫长岁月家居抱枕靠垫,259%,12973.2,154
12277,《陪安东尼度过漫长岁月》电影同款地垫,288%,28886.0,957
12278,安东尼X猫空限量版不二兔周边,2140%,214079.0,2476
12279,陪安不二兔子限量版遮阳伞 折叠晴雨伞太阳伞,2901%,290196.0,3864
12280,不二的钥匙扣 同款双肩包,1005%,100521.0,1313
12281,为困境老人筹一双鞋过寒冬,2996%,338660.0,16054
12282,南方航空为您甄选全球葡萄酒——琴声酝酿之莎莎酒庄,108%,54246.0,287
12283,猴菇大白的全民保卫战,134%,67398.0,731
12284,【寿乡连州-霜降菜心】食神韬韬倾力推荐,202%,101453.1,576
12285,原创艺术马桶盖，华丽换装！正版授权！,100%,50232.0,168
12286,AiPlay U盘，给iPhone 6 6S扩容,491%,491630.0,2062
12287,常山胡柚——天天吃胡柚，健康乐无忧！,108%,54445.1,1924
12288,"HimoeM1 -  ""没有电源，也能无线充电""",130%,130835.0,1732
12289,2016金猴如意月份牌-传统手绘水墨年画台历,140%,70318.0,906
12290,小辣椒 红辣椒醉视手机新品上市 【特权派的视界】,104%,104925.0,75
12291,云南高原上好吃的红心火龙果，支持“国货”走出大山,101%,50523.2,1534
12292,心想 Shot，一台好玩的胶囊咖啡机,300%,1501134.0,2206
12293,骆宾王智能钱包 偷不走 丢不了,116%,116984.0,568
12294,"你没吃过的,比苹果还好吃的---水果萝卜",376%,188405.1,5699
12295,信马仕智能咖啡杯 开启智能时代,431%,431910.0,570
12296,传承古法技艺 现代工艺加工 真正零添加营养鱼松,118%,59305.2,1228
12297,豌豆星球3D互动超萌AR早教卡：打开宝宝的天才大脑,119%,119649.0,391
12298,您的关注 它的微笑 《艺术·江豚》巡展公益合伙人,431%,43138.0,1603
12299,红都瑞金—“红井水”家传秘制咸土鸭蛋,115%,57657.0,541
12300,飞智盒子旗舰版 —— 极速游戏视频&高配置大容量,432%,432785.0,290
12301,听风HALO手镯 首款专注女性安全的智能首饰,6196%,6196830.0,4711
12302,"原石花器,与众不同的天然花器",114%,57384.0,223
12303,更懂你的智能手表！安卓系统，不仅仅是定位和通话！,462%,693881.0,1619
12304,为留守女童心灵成长保驾护航,265%,25480.0,1103
12305,【爱你心影不离】 光照投影心纯银表白钥匙项链,206%,103016.0,458
12306,一款极具低照度，非手持可换镜头4k摄像机,104%,104468.0,42
12307,送给眼睛的智能保姆,1661%,1661148.0,5362
12308,黄金柿饼，让您看着上霜的柿饼。,111%,55680.0,1245
12309,农家散养 --- 黄泥包裹腌制的红心流油咸鸭蛋,122%,61432.0,950
12310,美友MY智能补水仪,116%,116627.0,397
12311,社交互动游戏的3D视频智能情趣飞机杯,308%,1542304.0,3406
12312,皇帝柑盛宴，我们精心甄选，只想给你最好的舌尖体验。,106%,53084.0,1186
12313,坚果P2智能便携影院 带在身边的大屏影音中心,2817%,2817598.0,902
12314,【带皮吃】丽江丑苹果，一起众筹你的甜蜜和健康,113%,56795.9,1357
12315,返乡创业大学生，把家乡的高山金银花带出,108%,54394.0,426
12316,喝一杯古法红糖水去去寒气,102%,51442.0,106
12317,共生共荣的鸭蛋与盐——东平湖咸鸭蛋,107%,53819.0,241
12318,坚果电信版手机,635%,6358156.0,6444
12319,OPPO R7s全网通版手机 长续航闪充利器,213%,2135637.0,763
12320,【玫瑰花酱】传承老手艺红糖腌制玫瑰酱,102%,51183.0,104
12321,IRecorder更懂你的智能行车记录仪,164%,329988.0,832
12322,跟随舌尖上的中国 寻找湘西正宗农家烟熏腊肉,146%,73000.0,655
12323,农家传统工艺腌制糖大蒜——让冬天的火锅变得更有味道,102%,51381.0,416
12324,i-time智能极简主义手表，颜值美到爆表,1703%,1703851.0,4057
12325,寻朝鲜族美食，共探味蕾之旅！,104%,52248.0,631
12326,回忆一些儿时的回忆， 最爱的那一口零食-焦糖瓜子,172%,86250.2,1473
12327,索尼XPERIA Z5手机 荣誉归来 与我为5,196%,1964182.0,414
12328,寻找养生的秘密，古法阿胶膏,105%,52804.0,211
12329,圣城名吃——香酥煎饼   曲阜特产,102%,51316.2,1233
12330,【寻农】之泰国寻米,111%,55871.0,304
12331,小米下一款手机新品,3559%,35595000.0,35595
12332,"雾霾来袭！！！怎能少得""百合""清肺……",112%,56396.0,183
12333,2015年小兴安岭红松籽仁 品尝来自大自然的松香,108%,54094.8,642
12334,35元精彩的家。既是智能灯音乐魔灯，更满足常规照明,108%,108246.0,2343
12335,晚熟红富士——现摘现发,103%,51952.0,829
